event_id,det_id,track_id,xtop,ytop,z,xbot,ybot,StatNb,ViewNb,PlaneNb,LayerNb,StrawNb
17.0,30002276.0,3.0,249.9992,30.8,3321.15,-249.9992,30.8,3.0,0.0,0.0,0.0,276.0
17.0,30102276.0,3.0,249.9992,30.36,3323.75,-249.9992,30.36,3.0,0.0,1.0,0.0,276.0
17.0,31002274.0,3.0,246.067151165,55.8587246371,3331.15,-252.028603969,12.2809927124,3.0,1.0,0.0,0.0,274.0
17.0,31102274.0,3.0,246.105499692,55.4203989699,3333.75,-251.990255442,11.8426670453,3.0,1.0,1.0,0.0,274.0
17.0,32012279.0,3.0,251.364477209,4.68998911296,3342.25,-246.731277925,48.2677210376,3.0,2.0,0.0,1.0,279.0
17.0,32102278.0,3.0,251.397596392,5.06854309823,3343.75,-246.698158743,48.6462750229,3.0,2.0,1.0,0.0,278.0
17.0,32112279.0,3.0,251.326128683,4.2516634458,3344.85,-246.769626452,47.8293953704,3.0,2.0,1.0,1.0,279.0
17.0,33012277.0,3.0,249.9992,29.98,3352.25,-249.9992,29.98,3.0,3.0,0.0,1.0,277.0
17.0,33102276.0,3.0,249.9992,30.36,3353.75,-249.9992,30.36,3.0,3.0,1.0,0.0,276.0
17.0,40002278.0,3.0,249.9992,27.4,3521.15,-249.9992,27.4,4.0,0.0,0.0,0.0,278.0
17.0,40012279.0,3.0,249.9992,26.58,3522.25,-249.9992,26.58,4.0,0.0,0.0,1.0,279.0
